Координаты,Высота
"[55.568494, 75.701466]",99 м
"[55.568383000000004, 75.701577]",100 м
"[55.56827200000001, 75.701688]",100 м
"[55.56816100000001, 75.70179900000001]",101 м
"[55.568050000000014, 75.70191000000001]",101 м
"[55.56793900000002, 75.70202100000002]",102 м
"[55.56782800000002, 75.70213200000002]",102 м
"[55.56771700000002, 75.70224300000002]",102 м
"[55.567606000000026, 75.70235400000003]",103 м
"[55.56749500000003, 75.70246500000003]",103 м
"[55.56738400000003, 75.70257600000004]",103 м
"[55.567273000000036, 75.70268700000004]",103 м
"[55.56716200000004, 75.70279800000004]",104 м
"[55.56705100000004, 75.70290900000005]",104 м
"[55.566940000000045, 75.70302000000005]",104 м
"[55.56682900000005, 75.70313100000006]",104 м
"[55.56671800000005, 75.70324200000006]",104 м
"[55.566607000000054, 75.70335300000006]",104 м
"[55.56649600000006, 75.70346400000007]",105 м
"[55.56638500000006, 75.70357500000007]",106 м
"[55.566274000000064, 75.70368600000008]",107 м
"[55.56616300000007, 75.70379700000008]",107 м
"[55.56605200000007, 75.70390800000008]",108 м
"[55.56594100000007, 75.70401900000009]",109 м
"[55.565830000000076, 75.70413000000009]",109 м
"[55.56571900000008, 75.7042410000001]",109 м
"[55.56560800000008, 75.7043520000001]",109 м
"[55.565497000000086, 75.7044630000001]",109 м
"[55.56538600000009, 75.70457400000011]",110 м
